top - 11:55:41 up  3:13,  0 users,  load average: 1.09, 5.58, 7.71
Tasks: 379 total,   1 running, 378 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.5 us,  1.1 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
MiB Mem :  64306.6 total,  57304.0 free,   2832.2 used,   4170.4 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  60755.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  10483 root      20   0  884684 162072  21844 S  12.5   0.2  36:34.21 cadvisor
 852863 idozach+  20   0    9764   4132   3388 R  12.5   0.0   0:00.02 top
    496 root      19  -1  111520  59520  58256 S   6.2   0.1   0:14.04 systemd+
    865 root      20   0 4087228 130276  70444 S   6.2   0.2  11:32.30 kubelet
   2407 root      20   0 1453296  24612  14380 S   6.2   0.0   1:56.92 fluent-+
   4906 user      20   0  755276  52408  33708 S   6.2   0.1   0:55.72 metrics+
 216987 1337      20   0  756776  46600  31740 S   6.2   0.1   0:17.78 pilot-a+
 634974 1337      20   0  201488  75432  38284 S   6.2   0.1   9:43.05 envoy
      1 root      20   0  170228  13252   8284 S   0.0   0.0   0:15.52 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
      9 root      20   0       0      0      0 S   0.0   0.0   0:01.81 ksoftir+
     10 root      20   0       0      0      0 I   0.0   0.0   0:26.43 rcu_sch+
     11 root      rt   0       0      0      0 S   0.0   0.0   0:00.08 migrati+
     12 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:01.66 ksoftir+
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
