timestamp,service,total,2xx,4xx,5xx,resets,rq_time_sum_ms,rq_time_count,rq_time_buckets
2026-09-19T15:38:10Z,adservice,428763,428666,0,0,97,2664330,428666,"{""0.5"":428,""1"":428,""5"":199521,""10"":349967,""25"":426945,""50"":428346,""100"":428627,""250"":428666,""500"":428666,""1000"":428666,""2500"":428666,""5000"":428666,""10000"":428666,""30000"":428666,""60000"":428666,""300000"":428666,""600000"":428666,""1800000"":428666,""3600000"":428666,""+Inf"":428666}"
2026-09-19T15:38:10Z,cartservice,801378,801062,0,0,316,6621184,801062,"{""0.5"":3,""1"":3,""5"":237061,""10"":553693,""25"":789704,""50"":800691,""100"":800868,""250"":800869,""500"":801062,""1000"":801062,""2500"":801062,""5000"":801062,""10000"":801062,""30000"":801062,""60000"":801062,""300000"":801062,""600000"":801062,""1800000"":801062,""3600000"":801062,""+Inf"":801062}"
2026-09-19T15:38:10Z,checkoutservice,42951,33704,0,0,9247,4346275,33704,"{""0.5"":732,""1"":732,""5"":1918,""10"":2132,""25"":2226,""50"":12545,""100"":25619,""250"":27885,""500"":29706,""1000"":33704,""2500"":33704,""5000"":33704,""10000"":33704,""30000"":33704,""60000"":33704,""300000"":33704,""600000"":33704,""1800000"":33704,""3600000"":33704,""+Inf"":33704}"
2026-09-19T15:38:10Z,currencyservice,1360248,1360150,0,0,98,31362452,1360150,"{""0.5"":662,""1"":662,""5"":138936,""10"":317065,""25"":845316,""50"":1263521,""100"":1357422,""250"":1360150,""500"":1360150,""1000"":1360150,""2500"":1360150,""5000"":1360150,""10000"":1360150,""30000"":1360150,""60000"":1360150,""300000"":1360150,""600000"":1360150,""1800000"":1360150,""3600000"":1360150,""+Inf"":1360150}"
2026-09-19T15:38:10Z,emailservice,25484,25480,0,0,4,92883,25480,"{""0.5"":0,""1"":0,""5"":19536,""10"":24755,""25"":25450,""50"":25479,""100"":25480,""250"":25480,""500"":25480,""1000"":25480,""2500"":25480,""5000"":25480,""10000"":25480,""30000"":25480,""60000"":25480,""300000"":25480,""600000"":25480,""1800000"":25480,""3600000"":25480,""+Inf"":25480}"
2026-09-19T15:38:10Z,frontend,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-19T15:38:10Z,paymentservice,27165,26963,0,0,212,70421,26953,"{""0.5"":90,""1"":90,""5"":24350,""10"":26501,""25"":26949,""50"":26951,""100"":26953,""250"":26953,""500"":26953,""1000"":26953,""2500"":26953,""5000"":26953,""10000"":26953,""30000"":26953,""60000"":26953,""300000"":26953,""600000"":26953,""1800000"":26953,""3600000"":26953,""+Inf"":26953}"
2026-09-19T15:38:10Z,productcatalogservice,6441906,6441698,0,0,208,125887981,6441698,"{""0.5"":419875,""1"":419875,""5"":1108789,""10"":1702823,""25"":4222048,""50"":6336738,""100"":6440523,""250"":6441698,""500"":6441698,""1000"":6441698,""2500"":6441698,""5000"":6441698,""10000"":6441698,""30000"":6441698,""60000"":6441698,""300000"":6441698,""600000"":6441698,""1800000"":6441698,""3600000"":6441698,""+Inf"":6441698}"
2026-09-19T15:38:10Z,recommendationservice,970509,968712,0,0,1797,120464312,968712,"{""0.5"":0,""1"":0,""5"":2069,""10"":16560,""25"":97815,""50"":261624,""100"":492204,""250"":850207,""500"":966763,""1000"":968712,""2500"":968712,""5000"":968712,""10000"":968712,""30000"":968712,""60000"":968712,""300000"":968712,""600000"":968712,""1800000"":968712,""3600000"":968712,""+Inf"":968712}"
2026-09-19T15:38:10Z,redis-cart,0,0,0,0,0,0,0,
2026-09-19T15:38:10Z,shippingservice,213493,213017,0,0,476,536107,213017,"{""0.5"":21772,""1"":21772,""5"":179198,""10"":211638,""25"":213012,""50"":213012,""100"":213016,""250"":213017,""500"":213017,""1000"":213017,""2500"":213017,""5000"":213017,""10000"":213017,""30000"":213017,""60000"":213017,""300000"":213017,""600000"":213017,""1800000"":213017,""3600000"":213017,""+Inf"":213017}"
2026-09-19T15:38:11Z,adservice,428763,428666,0,0,97,2664330,428666,"{""0.5"":428,""1"":428,""5"":199521,""10"":349967,""25"":426945,""50"":428346,""100"":428627,""250"":428666,""500"":428666,""1000"":428666,""2500"":428666,""5000"":428666,""10000"":428666,""30000"":428666,""60000"":428666,""300000"":428666,""600000"":428666,""1800000"":428666,""3600000"":428666,""+Inf"":428666}"
2026-09-19T15:38:11Z,cartservice,801378,801062,0,0,316,6621184,801062,"{""0.5"":3,""1"":3,""5"":237061,""10"":553693,""25"":789704,""50"":800691,""100"":800868,""250"":800869,""500"":801062,""1000"":801062,""2500"":801062,""5000"":801062,""10000"":801062,""30000"":801062,""60000"":801062,""300000"":801062,""600000"":801062,""1800000"":801062,""3600000"":801062,""+Inf"":801062}"
2026-09-19T15:38:11Z,checkoutservice,42951,33704,0,0,9247,4346275,33704,"{""0.5"":732,""1"":732,""5"":1918,""10"":2132,""25"":2226,""50"":12545,""100"":25619,""250"":27885,""500"":29706,""1000"":33704,""2500"":33704,""5000"":33704,""10000"":33704,""30000"":33704,""60000"":33704,""300000"":33704,""600000"":33704,""1800000"":33704,""3600000"":33704,""+Inf"":33704}"
2026-09-19T15:38:11Z,currencyservice,1360248,1360150,0,0,98,31362452,1360150,"{""0.5"":662,""1"":662,""5"":138936,""10"":317065,""25"":845316,""50"":1263521,""100"":1357422,""250"":1360150,""500"":1360150,""1000"":1360150,""2500"":1360150,""5000"":1360150,""10000"":1360150,""30000"":1360150,""60000"":1360150,""300000"":1360150,""600000"":1360150,""1800000"":1360150,""3600000"":1360150,""+Inf"":1360150}"
2026-09-19T15:38:11Z,emailservice,25484,25480,0,0,4,92883,25480,"{""0.5"":0,""1"":0,""5"":19536,""10"":24755,""25"":25450,""50"":25479,""100"":25480,""250"":25480,""500"":25480,""1000"":25480,""2500"":25480,""5000"":25480,""10000"":25480,""30000"":25480,""60000"":25480,""300000"":25480,""600000"":25480,""1800000"":25480,""3600000"":25480,""+Inf"":25480}"
2026-09-19T15:38:11Z,frontend,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-19T15:38:11Z,paymentservice,27165,26963,0,0,212,70421,26953,"{""0.5"":90,""1"":90,""5"":24350,""10"":26501,""25"":26949,""50"":26951,""100"":26953,""250"":26953,""500"":26953,""1000"":26953,""2500"":26953,""5000"":26953,""10000"":26953,""30000"":26953,""60000"":26953,""300000"":26953,""600000"":26953,""1800000"":26953,""3600000"":26953,""+Inf"":26953}"
2026-09-19T15:38:11Z,productcatalogservice,6441906,6441698,0,0,208,125887981,6441698,"{""0.5"":419875,""1"":419875,""5"":1108789,""10"":1702823,""25"":4222048,""50"":6336738,""100"":6440523,""250"":6441698,""500"":6441698,""1000"":6441698,""2500"":6441698,""5000"":6441698,""10000"":6441698,""30000"":6441698,""60000"":6441698,""300000"":6441698,""600000"":6441698,""1800000"":6441698,""3600000"":6441698,""+Inf"":6441698}"
2026-09-19T15:38:11Z,recommendationservice,970509,968712,0,0,1797,120464312,968712,"{""0.5"":0,""1"":0,""5"":2069,""10"":16560,""25"":97815,""50"":261624,""100"":492204,""250"":850207,""500"":966763,""1000"":968712,""2500"":968712,""5000"":968712,""10000"":968712,""30000"":968712,""60000"":968712,""300000"":968712,""600000"":968712,""1800000"":968712,""3600000"":968712,""+Inf"":968712}"
2026-09-19T15:38:11Z,redis-cart,0,0,0,0,0,0,0,
2026-09-19T15:38:11Z,shippingservice,213493,213017,0,0,476,536107,213017,"{""0.5"":21772,""1"":21772,""5"":179198,""10"":211638,""25"":213012,""50"":213012,""100"":213016,""250"":213017,""500"":213017,""1000"":213017,""2500"":213017,""5000"":213017,""10000"":213017,""30000"":213017,""60000"":213017,""300000"":213017,""600000"":213017,""1800000"":213017,""3600000"":213017,""+Inf"":213017}"
2026-09-19T15:38:12Z,adservice,428763,428666,0,0,97,2664330,428666,"{""0.5"":428,""1"":428,""5"":199521,""10"":349967,""25"":426945,""50"":428346,""100"":428627,""250"":428666,""500"":428666,""1000"":428666,""2500"":428666,""5000"":428666,""10000"":428666,""30000"":428666,""60000"":428666,""300000"":428666,""600000"":428666,""1800000"":428666,""3600000"":428666,""+Inf"":428666}"
2026-09-19T15:38:12Z,cartservice,801378,801062,0,0,316,6621184,801062,"{""0.5"":3,""1"":3,""5"":237061,""10"":553693,""25"":789704,""50"":800691,""100"":800868,""250"":800869,""500"":801062,""1000"":801062,""2500"":801062,""5000"":801062,""10000"":801062,""30000"":801062,""60000"":801062,""300000"":801062,""600000"":801062,""1800000"":801062,""3600000"":801062,""+Inf"":801062}"
2026-09-19T15:38:12Z,checkoutservice,42951,33704,0,0,9247,4346275,33704,"{""0.5"":732,""1"":732,""5"":1918,""10"":2132,""25"":2226,""50"":12545,""100"":25619,""250"":27885,""500"":29706,""1000"":33704,""2500"":33704,""5000"":33704,""10000"":33704,""30000"":33704,""60000"":33704,""300000"":33704,""600000"":33704,""1800000"":33704,""3600000"":33704,""+Inf"":33704}"
2026-09-19T15:38:12Z,currencyservice,1360248,1360150,0,0,98,31362452,1360150,"{""0.5"":662,""1"":662,""5"":138936,""10"":317065,""25"":845316,""50"":1263521,""100"":1357422,""250"":1360150,""500"":1360150,""1000"":1360150,""2500"":1360150,""5000"":1360150,""10000"":1360150,""30000"":1360150,""60000"":1360150,""300000"":1360150,""600000"":1360150,""1800000"":1360150,""3600000"":1360150,""+Inf"":1360150}"
2026-09-19T15:38:12Z,emailservice,25484,25480,0,0,4,92883,25480,"{""0.5"":0,""1"":0,""5"":19536,""10"":24755,""25"":25450,""50"":25479,""100"":25480,""250"":25480,""500"":25480,""1000"":25480,""2500"":25480,""5000"":25480,""10000"":25480,""30000"":25480,""60000"":25480,""300000"":25480,""600000"":25480,""1800000"":25480,""3600000"":25480,""+Inf"":25480}"
