top - 09:55:38 up  1:13,  0 users,  load average: 4.01, 1.79, 2.61
Tasks: 428 total,   1 running, 427 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.9 us,  2.6 sy,  0.0 ni, 89.7 id,  0.0 wa,  0.0 hi,  1.8 si,  0.0 st
MiB Mem :  64306.6 total,  58557.2 free,   2363.7 used,   3385.7 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  61230.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 332452 root      20   0  724272  19040  12056 S 100.0   0.0   1:27.07 server
  10483 root      20   0  884684 154108  21704 S  18.8   0.2  14:17.74 cadvisor
   1179 root      20   0 6463700 132160  53684 S  12.5   0.2  11:54.18 dockerd
      1 root      20   0  170228  13248   8284 S   6.2   0.0   0:11.08 systemd
    531 root      20   0   22648   5996   3976 S   6.2   0.0   0:02.32 systemd+
    868 root      20   0  234436   8680   6540 S   6.2   0.0   0:00.40 polkitd
    879 root      20   0 2812788  43792  26928 S   6.2   0.1   0:04.60 snapd
   1598 root      20   0   17392   7744   6784 S   6.2   0.0   0:01.25 systemd+
   2407 root      20   0 1453296  24548  14380 S   6.2   0.0   0:42.04 fluent-+
 236832 root      20   0 3197800 102240  25696 S   6.2   0.2   0:28.99 java
 341338 idozach+  20   0    9748   4212   3472 R   6.2   0.0   0:00.02 top
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
      9 root      20   0       0      0      0 S   0.0   0.0   0:00.68 ksoftir+
     10 root      20   0       0      0      0 I   0.0   0.0   0:08.61 rcu_sch+
     11 root      rt   0       0      0      0 S   0.0   0.0   0:00.03 migrati+
     12 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.76 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.63 ksoftir+
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.75 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.61 ksoftir+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     29 root      rt   0       0      0      0 S   0.0   0.0   0:00.76 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:02.96 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     34 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     35 root      rt   0       0      0      0 S   0.0   0.0   0:00.76 migrati+
     36 root      20   0       0      0      0 S   0.0   0.0   0:02.92 ksoftir+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     40 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     41 root      rt   0       0      0      0 S   0.0   0.0   0:00.76 migrati+
     42 root      20   0       0      0      0 S   0.0   0.0   0:02.34 ksoftir+
